Title,Author,Position,Month,Year
GONE GIRL,by Gillian Flynn,1,1,2013
THE RACKETEER,by John Grisham,2,1,2013
FIFTY SHADES OF GREY,by E. L. James,3,1,2013
SAFE HAVEN,by Nicholas Sparks,4,1,2013
THE FORGOTTEN,by David Baldacci,5,1,2013
"MERRY CHRISTMAS, ALEX CROSS",by James Patterson,6,1,2013
THREAT VECTOR,by Tom Clancy with Mark Greaney,7,1,2013
NOTORIOUS NINETEEN,by Janet Evanovich,8,1,2013
LIFE OF PI,by Yann Martel,9,1,2013
THE BLACK BOX,by Michael Connelly,10,1,2013
THE CASUAL VACANCY,by J. K. Rowling,11,1,2013
FIFTY SHADES DARKER,by E. L. James,12,1,2013
FIFTY SHADES FREED,by E. L. James,13,1,2013
THE COINCIDENCE OF CALLIE AND KAYDEN,by Jessica Sorensen,14,1,2013
THE LAST MAN,by Vince Flynn,15,1,2013
SAFE HAVEN,by Nicholas Sparks,1,2,2013
HOPELESS,by Colleen Hoover,2,2,2013
GONE GIRL,by Gillian Flynn,3,2,2013
THE FIFTH ASSASSIN,by Brad Meltzer,4,2,2013
FIFTY SHADES OF GREY,by E. L. James,5,2,2013
SOMEONE TO LOVE,by Addison Moore,6,2,2013
FIFTY SHADES FREED,by E. L. James,7,2,2013
FIFTY SHADES DARKER,by E. L. James,8,2,2013
THE FORGOTTEN,by David Baldacci,9,2,2013
A MEMORY OF LIGHT,by Robert Jordan and Brandon Sanderson,10,2,2013
THE COINCIDENCE OF CALLIE AND KAYDEN,by Jessica Sorensen,11,2,2013
THE THIRD BULLET,by Stephen Hunter,12,2,2013
THE RACKETEER,by John Grisham,13,2,2013
THE DEVIL COLONY,by James Rollins,14,2,2013
LIFE OF PI,by Yann Martel,15,2,2013
SAFE HAVEN,by Nicholas Sparks,1,3,2013
A WEEK IN WINTER,by Maeve Binchy,2,3,2013
GUILT,by Jonathan Kellerman,3,3,2013
GONE GIRL,by Gillian Flynn,4,3,2013
WAIT FOR ME,by Elisabeth Naughton,5,3,2013
FIFTY SHADES OF GREY,by E. L. James,6,3,2013
